               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.034729,            0.033389,           0.0010991,               0.992,             0.99603,              0.9945,             0.60519,            0.014496,            0.008697,           0.0009364,           0.0095446,           0.0095446,           0.0095446
                  94,            0.028196,            0.030993,           0.0014069,             0.99114,             0.99689,             0.99496,             0.76681,             0.01183,           0.0083766,          0.00096005,           0.0095397,           0.0095397,           0.0095397
                  95,            0.024123,            0.026343,           0.0012772,             0.99215,             0.99689,               0.995,             0.72248,            0.013655,           0.0081454,           0.0009022,           0.0095347,           0.0095347,           0.0095347
                  96,            0.032893,            0.031563,            0.001324,             0.99229,             0.99689,             0.99478,             0.51405,            0.020478,            0.010041,          0.00087457,           0.0095298,           0.0095298,           0.0095298
                  97,            0.041593,            0.032404,           0.0012795,             0.99468,             0.99689,               0.995,             0.74385,            0.012572,            0.007818,          0.00084889,           0.0095248,           0.0095248,           0.0095248
                  98,            0.036396,            0.029097,           0.0012198,             0.98732,             0.99689,             0.99489,             0.78643,            0.011085,           0.0078878,          0.00082669,           0.0095198,           0.0095198,           0.0095198
                  99,            0.034814,            0.030304,           0.0015195,             0.99713,             0.99689,             0.99499,             0.73183,            0.013821,           0.0086511,          0.00080896,           0.0095149,           0.0095149,           0.0095149
                 100,            0.030768,            0.030325,           0.0012994,             0.99802,             0.99689,               0.995,             0.75485,            0.015391,           0.0088623,          0.00077587,             0.00951,             0.00951,             0.00951
                 101,            0.035155,            0.032871,           0.0013462,             0.99823,             0.99689,               0.995,             0.71994,            0.012425,           0.0084532,          0.00082074,            0.009505,            0.009505,            0.009505
                 102,            0.027673,            0.030615,           0.0012323,             0.99824,             0.99689,               0.995,             0.74059,            0.014093,           0.0085313,          0.00086087,              0.0095,              0.0095,              0.0095
                 103,            0.023312,            0.027301,           0.0011759,             0.99805,             0.99689,               0.995,             0.77121,            0.013298,           0.0083889,           0.0008057,           0.0094951,           0.0094951,           0.0094951
                 104,            0.032018,            0.029597,           0.0011626,              0.9942,             0.99689,             0.99497,             0.35244,            0.028037,            0.010789,          0.00085857,           0.0094902,           0.0094902,           0.0094902
                 105,            0.039828,            0.035545,           0.0012478,             0.99642,             0.99586,             0.99498,             0.55048,            0.020745,           0.0097939,           0.0010111,           0.0094852,           0.0094852,           0.0094852
                 106,            0.029259,            0.026798,           0.0010269,             0.99623,             0.99379,             0.99499,              0.8149,            0.013152,           0.0086428,           0.0010606,           0.0094803,           0.0094803,           0.0094803
                 107,            0.028355,              0.0265,           0.0012539,              0.9955,             0.99482,             0.99497,             0.58164,            0.025228,            0.010819,          0.00096535,           0.0094753,           0.0094753,           0.0094753
                 108,            0.043335,            0.037962,           0.0012515,             0.99642,              0.9956,               0.995,             0.80826,             0.01267,           0.0084856,          0.00088018,           0.0094704,           0.0094704,           0.0094704
                 109,            0.035907,            0.030648,           0.0011395,              0.9954,             0.99586,               0.995,             0.67035,            0.016108,           0.0086073,          0.00079366,           0.0094654,           0.0094654,           0.0094654
                 110,            0.030789,            0.027917,            0.001486,             0.99432,             0.99481,               0.995,             0.79579,           0.0094736,           0.0079023,          0.00076978,           0.0094605,           0.0094605,           0.0094605
                 111,            0.033991,            0.029979,           0.0013975,             0.98792,             0.99636,             0.99258,             0.54516,            0.023756,           0.0097051,          0.00072405,           0.0094555,           0.0094555,           0.0094555
                 112,            0.039548,            0.033215,           0.0013425,             0.99231,             0.99455,             0.99454,             0.63472,            0.013136,           0.0090464,          0.00073861,           0.0094506,           0.0094506,           0.0094506
                 113,            0.035438,            0.030029,           0.0013051,             0.99247,             0.99389,             0.99393,             0.71608,             0.01141,           0.0088444,          0.00077845,           0.0094456,           0.0094456,           0.0094456
                 114,            0.031253,            0.030154,           0.0011589,             0.98737,             0.99115,              0.9918,             0.72728,            0.011723,           0.0096501,          0.00075588,           0.0094407,           0.0094407,           0.0094407
                 115,            0.027799,            0.026266,           0.0012121,             0.99417,             0.99672,             0.99358,             0.64996,            0.015259,            0.010183,          0.00073374,           0.0094357,           0.0094357,           0.0094357
                 116,            0.034266,            0.030961,           0.0013719,             0.99334,             0.99689,             0.99394,             0.52797,            0.019515,           0.0092851,          0.00066706,           0.0094307,           0.0094307,           0.0094307
                 117,            0.037093,            0.032363,           0.0012841,             0.99463,             0.99689,               0.995,             0.72764,            0.010412,           0.0080105,          0.00072304,           0.0094258,           0.0094258,           0.0094258
                 118,            0.028012,            0.028483,           0.0016251,              0.9932,             0.99689,               0.995,             0.60474,            0.013661,           0.0081146,          0.00074522,           0.0094208,           0.0094208,           0.0094208
                 119,            0.027733,            0.027367,           0.0012581,             0.99647,              0.9984,               0.995,              0.7361,            0.010382,           0.0082744,          0.00071427,           0.0094159,           0.0094159,           0.0094159
                 120,            0.029385,            0.027671,           0.0013534,             0.99689,             0.99853,               0.995,             0.46045,            0.018859,           0.0088333,          0.00066556,           0.0094109,           0.0094109,           0.0094109
                 121,            0.030997,            0.029623,           0.0011734,             0.99603,             0.99793,               0.995,             0.65236,            0.011701,           0.0078371,           0.0006959,            0.009406,            0.009406,            0.009406
                 122,            0.026472,            0.026019,           0.0013087,             0.99753,             0.99785,               0.995,             0.77147,            0.010912,            0.006999,          0.00068057,            0.009401,            0.009401,            0.009401
                 123,            0.023975,             0.02791,            0.001344,             0.99634,             0.99776,             0.99498,             0.66866,            0.016542,           0.0084264,           0.0006877,           0.0093961,           0.0093961,           0.0093961
                 124,            0.030641,            0.031865,           0.0011756,              0.9962,             0.99763,               0.995,             0.76129,            0.010155,           0.0072628,          0.00069879,           0.0093912,           0.0093912,           0.0093912
                 125,            0.034816,            0.028993,            0.001285,             0.99739,             0.99857,               0.995,             0.63591,            0.015012,           0.0092875,          0.00066579,           0.0093862,           0.0093862,           0.0093862
                 126,            0.027924,            0.028229,           0.0011516,             0.99489,             0.99896,               0.995,              0.7927,            0.011578,           0.0073762,          0.00064234,           0.0093813,           0.0093813,           0.0093813
                 127,            0.026349,             0.02634,           0.0012071,             0.99765,             0.99752,               0.995,             0.81517,            0.010917,           0.0072226,          0.00065079,           0.0093763,           0.0093763,           0.0093763
                 128,             0.03285,            0.029994,          0.00096866,             0.99413,             0.99806,             0.99165,             0.61361,            0.018545,           0.0081299,          0.00063558,           0.0093714,           0.0093714,           0.0093714
                 129,            0.039006,            0.031635,            0.001208,             0.99822,             0.99787,               0.995,             0.73462,           0.0091966,           0.0066852,          0.00067839,           0.0093664,           0.0093664,           0.0093664
                 130,            0.029646,            0.027562,           0.0014126,             0.99823,             0.99716,               0.995,             0.78755,            0.010586,           0.0068732,          0.00068348,           0.0093615,           0.0093615,           0.0093615
                 131,            0.027692,             0.02858,           0.0011644,             0.99738,             0.99689,               0.995,             0.67054,            0.014149,           0.0084315,          0.00061102,           0.0093565,           0.0093565,           0.0093565
                 132,            0.038041,            0.034254,           0.0013552,             0.99294,             0.99758,             0.99448,             0.60287,            0.019753,           0.0081308,          0.00061575,           0.0093516,           0.0093516,           0.0093516
                 133,            0.030971,             0.03531,           0.0010202,             0.99821,             0.99793,               0.995,             0.68845,            0.012505,           0.0075346,          0.00066681,           0.0093466,           0.0093466,           0.0093466
                 134,             0.02387,            0.029825,           0.0011025,             0.99825,             0.99821,               0.995,             0.76327,           0.0090103,           0.0073588,          0.00068046,           0.0093416,           0.0093416,           0.0093416
                 135,            0.023105,            0.029958,           0.0011036,             0.99829,             0.99783,               0.995,             0.69084,            0.008304,           0.0070565,          0.00066862,           0.0093367,           0.0093367,           0.0093367
                 136,            0.028958,            0.026025,           0.0011047,             0.99832,              0.9979,               0.995,              0.6568,            0.014567,           0.0080533,          0.00067464,           0.0093317,           0.0093317,           0.0093317
                 137,            0.026857,            0.025984,           0.0010614,             0.99833,             0.99788,               0.995,             0.74591,           0.0090409,           0.0071048,          0.00065819,           0.0093268,           0.0093268,           0.0093268
                 138,            0.024495,            0.026448,           0.0010866,             0.99835,             0.99788,               0.995,             0.77802,           0.0085653,           0.0066688,          0.00063864,           0.0093219,           0.0093219,           0.0093219
                 139,             0.02806,            0.027427,           0.0010002,              0.9984,             0.99799,               0.995,             0.64813,           0.0099367,           0.0063874,           0.0006053,           0.0093169,           0.0093169,           0.0093169
                 140,            0.031135,            0.029777,           0.0010637,             0.99838,             0.99824,               0.995,              0.6663,             0.01021,           0.0063411,          0.00055772,           0.0093119,           0.0093119,           0.0093119
                 141,            0.032925,            0.030433,           0.0010026,             0.99843,             0.99766,               0.995,             0.69002,           0.0098499,           0.0062759,          0.00053648,            0.009307,            0.009307,            0.009307
                 142,             0.02596,            0.027013,          0.00084528,              0.9978,             0.99751,               0.995,             0.64776,            0.009755,           0.0067033,          0.00052031,            0.009302,            0.009302,            0.009302
                 143,            0.023719,            0.024673,           0.0008727,             0.99842,             0.99754,               0.995,             0.65219,             0.01472,            0.007743,           0.0004507,           0.0092971,           0.0092971,           0.0092971
                 144,            0.035331,            0.031268,          0.00086924,             0.99846,             0.99721,               0.995,             0.65054,            0.016718,           0.0080573,          0.00046726,           0.0092922,           0.0092922,           0.0092922
                 145,            0.028547,            0.028178,          0.00082672,             0.99804,             0.99689,               0.995,             0.67059,            0.010613,           0.0071392,          0.00049078,           0.0092872,           0.0092872,           0.0092872
                 146,            0.027691,              0.0253,          0.00086778,             0.99807,             0.99689,               0.995,             0.69911,            0.010129,           0.0069965,           0.0004923,           0.0092823,           0.0092823,           0.0092823
                 147,            0.024635,            0.025877,           0.0010397,             0.99804,             0.99719,               0.995,              0.8206,            0.013753,           0.0068166,          0.00048096,           0.0092773,           0.0092773,           0.0092773
                 148,            0.030568,            0.028917,          0.00089005,             0.99826,             0.99797,               0.995,             0.64714,            0.014036,           0.0094602,          0.00045008,           0.0092724,           0.0092724,           0.0092724
                 149,             0.03301,            0.026356,          0.00081931,             0.99832,             0.99687,               0.995,             0.69962,             0.01197,           0.0070618,           0.0004511,           0.0092674,           0.0092674,           0.0092674
                 150,            0.031531,            0.023358,          0.00075642,             0.99836,             0.99692,               0.995,             0.74094,           0.0085838,           0.0063697,           0.0004469,           0.0092625,           0.0092625,           0.0092625
                 151,            0.028644,            0.025673,          0.00071557,             0.99822,             0.99689,               0.995,             0.65154,           0.0084765,           0.0067421,          0.00040356,           0.0092575,           0.0092575,           0.0092575
                 152,            0.027615,            0.028535,          0.00087549,             0.99582,             0.99689,             0.99499,             0.57457,            0.017401,            0.008737,          0.00038048,           0.0092526,           0.0092526,           0.0092526
